time,ax,ay,az,atotal
0.000,0.15,-0.03,0.39,0.42
0.010,-0.06,0.11,0.50,0.52
0.020,-0.05,0.18,0.48,0.52
0.030,0.05,0.15,0.39,0.42
0.040,0.13,0.07,0.36,0.39
0.050,0.14,-0.04,0.31,0.34
0.060,0.12,-0.09,0.22,0.27
0.070,0.01,-0.06,0.10,0.12
0.080,-0.10,0.02,0.02,0.10
0.090,-0.17,0.07,-0.06,0.20
0.100,-0.21,0.02,-0.16,0.26
0.110,-0.20,-0.02,-0.22,0.29
0.120,-0.13,-0.02,-0.29,0.31
0.130,-0.04,0.01,-0.34,0.35
0.140,-0.04,0.08,-0.38,0.39
0.150,-0.04,0.08,-0.32,0.34
0.160,-0.07,0.00,-0.25,0.26
0.170,-0.09,-0.06,-0.19,0.22
0.180,-0.14,-0.05,-0.14,0.20
0.190,-0.13,0.01,-0.08,0.16
0.200,-0.05,0.08,-0.04,0.10
0.210,-0.00,0.13,0.03,0.13
0.220,-0.00,0.14,0.09,0.17
0.230,0.03,0.12,0.06,0.14
0.240,0.06,0.10,0.02,0.12
0.250,0.08,0.09,0.03,0.12
0.260,0.06,0.04,0.02,0.08
0.270,0.03,-0.04,0.07,0.09
0.280,-0.03,-0.10,0.14,0.18
0.290,-0.10,-0.15,0.17,0.24
0.300,-0.09,-0.15,0.14,0.23
0.310,-0.05,-0.09,0.10,0.15
0.320,-0.07,-0.01,0.02,0.07
0.330,-0.07,0.05,0.01,0.08
0.340,-0.05,0.09,0.09,0.14
0.350,-0.02,0.07,0.16,0.17
0.360,0.05,0.02,0.08,0.10
0.370,0.13,-0.01,-0.05,0.14
0.380,0.13,0.05,-0.19,0.23
0.390,0.12,0.12,-0.27,0.32
0.400,0.12,0.12,-0.31,0.35
0.410,0.09,0.08,-0.28,0.30
0.420,-0.01,0.01,-0.14,0.14
0.430,-0.11,-0.04,0.04,0.12
0.440,-0.13,-0.08,0.11,0.19
0.450,-0.18,-0.09,0.08,0.22
0.460,-0.20,-0.08,-0.00,0.22
0.470,-0.17,-0.05,-0.07,0.19
0.480,-0.11,-0.01,-0.11,0.15
0.490,0.01,0.05,-0.11,0.12
0.500,0.09,0.07,-0.12,0.16
0.510,0.10,0.04,-0.09,0.13
0.520,0.05,0.02,-0.03,0.06
0.530,-0.02,-0.00,0.03,0.04
0.540,-0.08,-0.00,0.08,0.12
0.550,-0.12,-0.03,0.13,0.17
0.560,-0.08,-0.04,0.23,0.25
0.570,-0.03,-0.03,0.26,0.27
0.580,0.06,-0.04,0.25,0.26
0.590,0.06,-0.00,0.18,0.19
0.600,0.04,0.08,0.05,0.10
0.610,0.05,0.11,-0.06,0.13
0.620,-0.01,0.14,-0.15,0.20
0.630,-0.09,0.14,-0.20,0.26
0.640,-0.15,0.12,-0.20,0.28
0.650,-0.20,0.07,-0.23,0.31
0.660,-0.18,0.01,-0.19,0.26
0.671,-0.17,-0.03,-0.18,0.25
0.680,-0.12,-0.06,-0.13,0.19
0.690,-0.10,-0.07,-0.03,0.13
0.700,-0.05,-0.04,0.04,0.07
0.710,-0.00,0.02,0.07,0.07
0.720,-0.00,0.05,0.07,0.08
0.730,-0.00,0.06,0.05,0.08
0.740,-0.04,0.06,0.04,0.08
0.750,-0.06,0.04,0.10,0.13
0.761,-0.09,0.02,0.14,0.17
0.770,-0.06,-0.01,0.13,0.14
0.780,-0.01,-0.07,0.07,0.10
0.790,0.01,-0.09,-0.01,0.09
0.800,0.04,-0.06,-0.07,0.10
0.810,0.06,-0.03,-0.07,0.10
0.821,0.09,-0.05,-0.01,0.10
0.831,0.12,-0.07,0.06,0.16
0.841,0.11,-0.04,0.13,0.17
0.851,0.08,-0.02,0.12,0.15
0.861,0.02,0.02,0.11,0.11
0.871,-0.04,0.05,0.06,0.09
0.880,-0.01,0.06,0.00,0.06
