time,ax,ay,az,atotal
0.000,-0.09,0.88,-0.19,0.91
0.010,-0.41,0.58,-0.02,0.71
0.020,-0.14,0.53,-0.12,0.56
0.030,-0.12,0.81,-0.44,0.93
0.040,-0.63,0.30,-0.05,0.69
0.050,-0.12,0.73,0.12,0.75
0.060,-0.30,0.73,-0.11,0.80
0.070,-0.11,0.61,0.10,0.62
0.080,0.19,0.80,0.08,0.82
0.090,-0.48,0.39,0.27,0.67
0.100,0.01,0.68,0.24,0.72
0.110,-0.14,0.55,0.26,0.63
0.120,-0.16,0.93,-0.16,0.96
0.130,0.20,0.76,-0.22,0.81
0.140,-0.46,-0.08,0.91,1.02
0.150,0.15,0.55,0.68,0.89
0.160,-0.09,0.91,-0.03,0.91
0.171,-0.13,0.99,0.08,1.00
0.181,0.22,0.76,-0.06,0.80
0.191,-0.09,0.36,0.37,0.52
0.201,0.01,0.37,0.04,0.38
0.211,-0.34,0.62,0.26,0.75
0.221,-0.02,0.61,0.23,0.65
0.231,0.15,0.41,0.48,0.65
0.241,-0.22,0.80,0.17,0.84
0.251,-0.32,0.96,-0.21,1.04
0.261,-0.24,0.58,0.15,0.65
0.271,0.12,0.47,-0.32,0.58
0.281,-0.26,0.25,0.12,0.38
0.291,-0.34,0.64,0.54,0.90
0.301,-0.34,0.49,0.88,1.06
0.311,-0.12,0.54,0.35,0.65
0.321,-0.16,0.41,-0.81,0.92
0.331,-0.45,0.47,-0.18,0.68
0.341,0.01,0.39,0.24,0.46
0.351,-0.32,0.56,0.24,0.68
0.361,-0.15,0.39,-0.90,0.99
0.371,-0.45,-0.07,-0.01,0.45
0.381,-0.31,0.15,0.60,0.69
0.391,-0.06,0.23,0.40,0.46
0.401,-0.62,0.55,-0.65,1.05
0.411,-0.16,0.04,-0.68,0.70
0.421,-0.37,0.24,0.29,0.53
0.431,-0.35,0.42,-0.10,0.56
0.441,-0.57,0.00,-0.06,0.57
0.451,-0.09,0.15,-0.34,0.39
0.461,0.06,0.13,0.25,0.29
0.472,-0.11,0.36,0.39,0.55
0.481,-0.38,-0.22,-0.03,0.44
0.492,-0.26,0.36,-0.35,0.56
0.502,0.17,0.27,0.25,0.40
0.512,-0.37,0.62,0.56,0.91
0.522,-0.34,0.15,-0.13,0.40
0.532,-0.26,0.62,0.19,0.70
0.542,-0.04,0.56,0.03,0.57
0.552,0.02,0.56,0.23,0.60
0.562,-0.20,0.11,0.15,0.27
0.572,-0.07,0.65,0.28,0.71
0.582,-0.24,0.69,0.40,0.83
0.592,0.01,1.07,0.60,1.22
0.602,-0.10,0.70,0.57,0.91
0.612,0.04,1.16,-0.28,1.19
0.622,-0.32,0.45,-0.15,0.57
0.632,-0.13,1.17,0.13,1.18
0.642,0.23,1.01,0.75,1.28
0.652,-0.08,1.76,0.38,1.80
0.662,-0.24,0.81,0.34,0.91
0.672,-0.22,1.27,0.05,1.29
0.682,0.06,0.58,0.39,0.70
0.692,-0.03,1.11,0.25,1.14
0.702,-0.62,1.21,0.19,1.37
0.712,-0.33,1.68,0.18,1.72
0.722,0.02,0.84,0.67,1.08
0.732,-0.24,1.29,-0.07,1.31
0.742,-0.40,0.82,-0.25,0.95
0.752,-0.42,1.03,0.01,1.11
0.762,0.06,0.99,0.02,0.99
0.773,-0.01,0.89,0.22,0.92
0.783,-0.19,0.78,0.29,0.86
0.793,-0.34,0.96,0.15,1.03
0.803,-0.22,0.67,0.11,0.71
0.813,-0.19,0.46,0.75,0.90
0.823,-0.27,0.64,0.03,0.70
0.833,-0.46,0.79,-0.18,0.93
0.843,-0.18,0.78,-0.03,0.80
0.853,-0.03,0.03,0.35,0.36
0.863,-0.13,0.66,-0.31,0.74
0.873,-0.18,0.28,-0.04,0.34
0.883,-0.15,0.64,0.05,0.66
0.893,-0.09,0.25,-0.15,0.30
0.903,-0.07,0.41,-0.42,0.59
0.913,0.19,-0.37,0.01,0.42
0.923,-0.32,0.71,0.08,0.79
0.933,-0.20,0.33,0.28,0.48
0.943,-0.38,0.12,0.21,0.45
0.953,0.16,0.34,0.03,0.38
0.963,-0.09,0.48,-0.29,0.57
0.973,-0.08,0.32,-0.35,0.48
0.983,-0.19,-0.12,-0.00,0.22
0.993,0.08,0.82,-0.30,0.88
1.003,-0.03,0.48,0.34,0.59
1.013,-0.24,0.45,0.18,0.54
1.023,-0.25,0.48,0.01,0.54
1.033,-0.15,0.20,-0.01,0.25
1.043,-0.10,0.67,0.22,0.71
1.053,-0.46,0.63,0.58,0.97
1.063,-0.38,0.39,0.60,0.81
1.073,-0.22,0.80,0.20,0.85
1.083,-0.44,0.60,0.18,0.76
1.094,0.11,0.68,0.82,1.07
1.104,0.22,1.05,0.08,1.07
1.114,-0.01,0.96,-0.68,1.18
1.124,0.00,0.18,0.68,0.71
1.134,-0.07,0.64,0.37,0.74
1.144,0.04,1.51,0.53,1.61
1.154,0.06,1.13,0.73,1.34
1.164,-0.28,0.77,0.38,0.90
1.174,-0.01,0.77,-0.09,0.78
1.184,-0.06,1.09,-0.22,1.11
1.194,-0.30,1.34,0.19,1.39
1.204,0.22,1.05,0.55,1.20
1.214,0.16,0.99,0.25,1.04
1.224,0.02,1.37,-0.51,1.47
1.234,0.00,0.90,0.13,0.91
1.244,0.13,0.95,-0.61,1.13
1.254,0.25,1.21,-0.22,1.26
1.264,-0.13,0.97,0.20,1.00
1.274,-0.27,0.77,0.43,0.92
1.284,0.02,1.08,-0.19,1.09
1.294,-0.03,1.01,-0.33,1.07
1.304,-0.19,0.66,0.06,0.69
1.314,0.04,0.89,-0.53,1.04
1.324,-0.11,1.09,-0.47,1.19
1.334,0.22,0.62,0.23,0.70
1.344,0.15,0.74,-0.00,0.75
1.354,-0.16,0.85,-0.38,0.94
1.364,0.05,0.13,0.82,0.83
1.374,-0.15,0.82,0.15,0.84
1.384,-0.35,0.46,-0.13,0.60
1.395,-0.09,0.02,0.71,0.72
1.405,-0.18,0.85,0.06,0.87
1.415,-0.26,0.67,-0.06,0.72
1.425,-0.13,0.45,0.38,0.60
1.435,-0.29,0.14,-0.09,0.34
1.445,-0.08,0.05,0.01,0.10
1.455,-0.12,0.68,0.40,0.79
1.465,-0.37,0.27,0.45,0.65
1.475,-0.04,-0.15,0.30,0.34
1.485,-0.17,0.45,-0.01,0.48
1.495,-0.45,0.09,0.56,0.72
1.505,-0.74,-0.25,1.01,1.27
1.515,-0.49,0.48,0.13,0.70
1.525,-0.50,0.32,0.30,0.67
1.535,-0.40,0.02,0.49,0.63
1.545,-0.29,0.43,-0.18,0.55
1.555,-0.17,0.49,0.24,0.57
1.565,-0.45,0.00,0.39,0.60
1.575,-0.50,0.35,0.09,0.61
1.585,-0.42,0.29,0.51,0.72
1.595,-0.30,0.64,-0.06,0.71
1.605,-0.07,0.70,-0.25,0.75
1.615,-0.33,0.49,0.08,0.60
1.625,-0.40,0.22,0.30,0.55
1.635,-0.19,1.07,-0.61,1.25
1.645,-0.21,0.74,0.17,0.79
1.655,-0.22,0.49,0.38,0.65
1.665,0.11,0.95,-0.33,1.01
1.675,0.09,0.69,0.04,0.70
1.685,-0.11,0.35,0.40,0.54
1.696,-0.08,1.24,-0.18,1.26
1.705,0.16,0.93,-0.07,0.95
1.716,-0.05,0.56,0.43,0.71
1.726,-0.00,1.43,-0.41,1.48
1.736,0.06,0.95,-0.30,1.00
1.746,0.07,0.90,0.50,1.03
1.756,-0.01,1.32,0.09,1.32
1.766,-0.02,0.72,0.38,0.81
1.776,-0.02,0.59,0.38,0.70
1.786,-0.06,1.30,-0.55,1.42
1.796,-0.14,0.93,0.23,0.97
1.806,0.06,0.93,0.37,1.00
1.816,0.41,1.40,-0.15,1.47
1.826,0.15,0.92,-0.22,0.96
1.836,-0.05,0.59,0.21,0.63
1.846,-0.26,0.87,0.04,0.91
1.856,-0.11,0.91,0.25,0.95
1.866,0.10,0.85,0.46,0.97
1.876,0.20,0.81,-0.22,0.87
1.886,-0.01,0.25,-0.11,0.28
1.896,0.19,0.79,0.44,0.92
1.906,-0.27,1.03,0.26,1.09
1.916,-0.31,0.29,0.09,0.43
1.926,0.13,0.44,-0.60,0.75
1.936,-0.00,0.71,-0.15,0.73
1.946,0.18,-0.02,0.83,0.85
1.956,0.04,0.86,0.30,0.91
1.966,-0.52,0.08,-0.05,0.53
1.976,-0.04,0.04,0.93,0.93
1.986,0.01,0.27,0.17,0.32
1.997,-0.49,0.25,-0.05,0.55
2.007,-0.13,0.92,0.41,1.01
2.017,-0.37,-0.20,0.46,0.62
2.027,-0.20,0.53,-0.18,0.60
2.037,-0.08,0.92,-0.78,1.21
2.047,-0.54,0.04,0.48,0.73
2.057,0.14,0.59,-0.05,0.61
2.067,-0.24,0.07,-0.55,0.60
2.077,-0.08,-0.10,0.28,0.30
2.087,-0.01,1.08,-0.23,1.10
2.097,-0.44,0.31,0.25,0.59
2.107,0.20,-0.50,0.67,0.86
2.117,-0.40,1.03,-1.19,1.62
2.127,-0.04,0.13,-0.20,0.25
2.137,0.19,-0.11,1.00,1.02
2.147,-0.05,0.66,-0.65,0.93
2.157,0.16,-0.05,0.20,0.26
2.167,-0.14,0.49,0.56,0.76
2.177,-0.22,-0.30,-0.15,0.40
2.187,-0.16,0.12,0.39,0.44
2.197,-0.23,0.32,0.41,0.57
2.207,-0.21,0.28,0.34,0.49
2.217,0.12,0.23,-0.45,0.53
2.227,-0.02,0.12,-0.37,0.39
2.237,0.07,0.52,0.20,0.56
2.247,-0.06,0.41,0.73,0.84
2.257,-0.20,0.11,0.18,0.29
2.267,0.05,-0.10,-0.13,0.17
2.277,-0.09,0.12,-0.54,0.56
2.287,0.33,0.38,0.91,1.04
2.297,0.22,0.61,0.76,1.00
2.308,-0.03,0.52,-0.47,0.70
2.318,0.09,0.29,-0.51,0.59
2.328,-0.08,-0.06,-0.22,0.24
2.338,0.11,0.42,0.42,0.61
2.348,0.08,0.55,0.46,0.72
2.358,-0.29,0.53,-0.14,0.62
2.368,0.56,0.31,0.52,0.83
2.378,0.01,-0.10,0.27,0.29
2.388,0.13,0.45,0.04,0.47
2.398,0.09,-0.09,0.24,0.27
2.408,-0.09,0.32,0.52,0.62
2.418,0.05,0.57,-0.50,0.76
2.428,-0.07,0.24,-0.26,0.36
2.438,-0.02,0.64,-0.09,0.65
2.448,0.14,-0.20,0.24,0.35
2.458,-0.21,-0.46,-0.57,0.76
2.468,0.09,-0.23,-0.09,0.26
2.478,-0.38,-0.74,0.22,0.86
2.488,-0.37,-0.75,-0.18,0.86
2.498,0.01,-0.41,0.24,0.47
2.508,-0.09,0.06,0.59,0.60
2.518,0.46,-0.05,-0.44,0.64
2.528,-0.01,-1.24,-1.17,1.70
2.538,-0.18,-0.79,-1.30,1.53
2.548,0.13,-0.30,0.50,0.59
2.558,0.38,0.59,0.95,1.18
2.568,0.80,-0.89,-0.17,1.21
2.578,0.16,-2.80,-2.28,3.61
2.588,-0.35,-1.65,-2.99,3.43
2.599,0.03,-0.89,0.88,1.25
2.608,0.14,-0.65,2.21,2.30
2.619,0.17,-0.17,-0.42,0.48
2.629,-0.26,-1.38,-1.10,1.79
2.638,-0.37,-1.06,-0.68,1.31
2.649,-0.12,-0.62,-0.28,0.69
2.658,0.14,-0.63,0.78,1.01
2.669,0.53,0.06,0.39,0.66
2.679,0.54,-0.92,-0.24,1.09
2.689,0.67,-0.92,-1.33,1.75
2.699,-0.14,-0.08,-0.81,0.82
2.709,0.03,-0.10,0.73,0.74
2.719,-0.10,-0.81,1.23,1.48
2.729,-0.46,-1.11,-1.17,1.67
2.739,-0.50,-0.62,-1.59,1.78
2.749,-0.40,0.74,0.83,1.18
2.759,0.32,0.16,1.90,1.93
2.769,0.53,-0.45,-0.25,0.74
2.779,-0.41,-0.98,-2.55,2.76
2.789,-0.22,-0.39,-1.29,1.37
2.799,-0.06,-0.16,0.98,1.00
2.809,0.75,0.84,1.28,1.71
2.819,0.62,0.47,-0.88,1.18
2.829,0.16,-1.18,-1.29,1.76
2.839,0.03,-0.12,-1.67,1.67
2.849,0.41,0.82,0.95,1.32
2.859,-0.22,-1.31,0.73,1.51
2.869,-0.61,-0.52,-1.71,1.89
2.879,0.35,0.64,0.50,0.88
2.889,0.66,0.04,2.03,2.14
2.899,0.30,-0.52,-0.95,1.13
2.909,-0.38,-1.13,-2.48,2.75
2.919,0.09,-0.56,0.96,1.12
2.929,0.80,0.24,1.55,1.76
2.939,0.45,-0.02,-0.42,0.62
2.950,-0.01,-0.72,-0.46,0.86
2.960,0.31,-0.45,-0.49,0.74
2.970,0.17,-0.64,-0.09,0.66
2.980,0.34,-0.80,0.06,0.87
2.990,-0.10,-0.62,-0.30,0.70
3.000,0.19,-0.49,0.24,0.58
3.010,-0.00,-1.35,0.58,1.47
3.020,-0.48,-1.14,-1.24,1.75
3.030,0.17,-0.46,-0.69,0.85
3.040,0.18,0.47,1.01,1.14
3.050,0.22,-0.17,1.87,1.89
