time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,latitude,longitude,altitude,speed,yaw,pitch,roll
2024-09-29T22:49:05.021Z,-0.0445,0.2231,-0.9506,0.0338,0.0055,0.0806,0.0085,0.0054,-0.0029,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2177,-0.0154
2024-09-29T22:49:05.031Z,-0.0075,0.2086,-0.9823,0.0338,0.0055,0.0806,0.0004,0.0135,-0.0068,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2177,-0.0154
2024-09-29T22:49:05.040Z,-0.0075,0.2086,-0.9823,0.0338,0.0055,0.0806,0.0004,0.0135,-0.0068,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0155
2024-09-29T22:49:05.051Z,-0.0111,0.2308,-0.9545,0.0338,0.0055,0.0806,0.0125,0.0034,-0.0038,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
2024-09-29T22:49:05.062Z,-0.0111,0.2308,-0.9545,0.0338,0.0055,0.0806,0.0123,0.0010,-0.0012,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0153
2024-09-29T22:49:05.071Z,0.0037,0.1993,-0.9868,0.0338,0.0055,0.0806,-0.0016,0.0156,-0.0101,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
2024-09-29T22:49:05.081Z,0.0046,0.2116,-0.9971,0.0338,0.0055,0.0806,0.0044,0.0054,-0.0085,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0155
2024-09-29T22:49:05.091Z,0.0046,0.2116,-0.9971,0.0338,0.0055,0.0806,0.0217,-0.0008,-0.0043,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
2024-09-29T22:49:05.101Z,-0.0246,0.2315,-0.9436,0.0338,0.0055,0.0806,0.0108,0.0024,-0.0065,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
2024-09-29T22:49:05.114Z,-0.0412,0.2186,-0.9633,0.0338,0.0055,0.0806,0.0039,0.0069,-0.0138,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0156
2024-09-29T22:49:05.121Z,-0.0002,0.2200,-0.9835,0.0338,0.0055,0.0806,0.0067,0.0002,-0.0136,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0155
2024-09-29T22:49:05.131Z,-0.0358,0.2316,-0.9367,0.0338,0.0055,0.0806,0.0126,0.0091,-0.0013,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
2024-09-29T22:49:05.142Z,-0.0358,0.2316,-0.9367,0.0338,0.0055,0.0806,0.0049,0.0133,-0.0043,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2177,-0.0154
2024-09-29T22:49:05.151Z,0.0165,0.1957,-1.0125,0.0338,0.0055,0.0806,-0.0008,0.0121,-0.0121,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0156
2024-09-29T22:49:05.163Z,0.0165,0.1957,-1.0125,0.0338,0.0055,0.0806,0.0139,-0.0042,-0.0076,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0155
2024-09-29T22:49:05.171Z,-0.0495,0.2263,-0.9441,0.0338,0.0055,0.0806,0.0139,-0.0042,-0.0076,-35.40148998613972,149.11443611620842,667.3858,0.6700,-1.3285,-0.2178,-0.0154
